1,,,,,,,,,,,,,,Please correct the following:,Your Username should not be empty,First Name cannot be empty,Last Name cannot be empty,Password should have atleast 8 characters but not exceed 12,,UTA Id should be a 10-digit number,Email cannot be blank,Please enter a valid 10-digit phone number,Zip code should be a 5-digit number,Address cannot be empty,City cannot be empty
"int testno,", String username,", String password",", String confirmPass,"," String firstname,","String lastname,"," String email,"," String phone,"," String utaid,"," String address,", String city,", String state",string role, String zip,", String errMsg,",String usernameErr,", String firstnameErr",", String lastnameErr",", String passwordErr",", String cpasswordErr,",String utaidErr,", String emailErr",", String phoneErr",", String zipErr,", String addErr,", String cityErr"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"int testno, String username, String password, String confirmPass, String firstname,",,,,,,,,,,,,,,,,,,,,,,,,,
"String lastname, String email, String phone, String utaid,Ê",,,,,,,,,,,,,,,,,,,,,,,,,
"String address, String city, String state, String user_role, String zip, String errMsg,",,,,,,,,,,,,,,,,,,,,,,,,,
"String usernameErr, String firstnameErr, String lastnameErr, String passwordErr, String cpasswordErr,",,,,,,,,,,,,,,,,,,,,,,,,,
"String utaidErr, String emailErr, String phoneErr, String zipErr,",,,,,,,,,,,,,,Your Username cannot be empty,,,Password should have atleast 8 characters but not exceed 12,,,,,,,,
"String addErr, String cityErr",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,UTA ID should be a 10-digit number,,,,,,,,,,,,,
